accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.126, 0.811, 0.971, 27.076, 71.298, 90.237
0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.009, -0.002, 1.334, 9.069, 5.817, -0.771
0.011, 0.007, 1.325, 9.046, 5.947, -0.985
0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.015, 0.006, 1.333, 8.855, 5.412, -0.725
0.015, 0.006, 1.338, 8.817, 5.55, -0.855
0.021, 0.004, 1.334, 8.733, 5.534, -0.84
0.01, 0.0, 1.336, 8.962, 6.061, -0.87
0.016, -0.002, 1.337, 8.878, 5.489, -0.962
0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.013, -0.002, 1.33, 8.756, 5.42, -0.649
0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.26, 0.242, 1.303, 27.733, 5.29, -7.939
0.128, 0.342, 1.094, 5.069, 19.099, -0.237
0.12, 0.563, 1.194, -117.176, 11.504, -50.573
0.105, 0.003, 1.286, -44.344, -11.191, 42.962
0.399, 0.299, 1.309, 61.817, -21.71, 114.336
0.321, 0.311, 1.233, 45.427, 1.725, 82.847
0.492, -0.261, 1.202, -37.58, 12.359, -72.405
0.266, -0.097, 1.287, 51.809, -13.58, 135.557
0.194, -0.329, 1.253, -35.13, 73.672, -99.885
0.398, -0.025, 1.149, 6.305, 7.985, 57.313
0.207, -0.385, 1.132, 24.122, -16.282, 67.794
0.386, 0.296, 1.258, -42.702, 120.298, -60.771
0.215, 0.178, 1.41, -9.733, -1.344, -40.145
0.002, 0.078, 1.469, -20.458, 5.618, 39.137
0.452, 0.797, 0.915, 34.695, -41.382, 9.718
0.348, 1.011, 0.4, 37.099, -16.656, 42.901
0.308, 1.029, 0.455, 31.679, 30.855, 48.595
0.198, 1.061, 0.363, 30.405, -0.779, 68.939
0.023, 1.294, 0.435, 20.435, -3.603, 34.29
0.032, 1.106, 0.549, 2.053, -57.16, 18.908
0.106, 1.205, 0.592, 37.924, 43.336, 57.321
-0.073, 1.312, 0.717, -63.496, -99.954, -61.466
0.374, 0.43, 0.568, 69.802, 50.42, 23.015
0.0, 0.0, 0.0, 0.0, 0.0, 0.0
-0.299, 0.943, 0.782, 98.656, 147.893, 114.992
0.044, 0.926, 0.801, 5.229, -87.031, -40.809
-0.012, 1.073, 0.597, 6.015, 22.344, 9.397
-0.07, 0.875, 1.353, 57.489, 30.099, -3.405
0.027, 0.963, 0.464, 40.542, 4.443, 0.038
0.026, 0.944, 0.614, -9.924, 69.687, 17.153
-0.026, 0.907, 0.735, 1.878, -62.221, -19.244
-0.003, 0.503, 1.179, -34.55, 21.718, 93.969
